,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
42490,,,,,-0.1513,87.0,0.743,88,,,,
42491,,,,,0.7269,87.0,0.7184,88,,,,
42492,,,,,0.4404,87.0,0.0,88,,,,
42493,,,,,-0.0516,87.0,0.6808,88,,,,
42494,,,,,0.6369,89.0,0.4404,88,,,,
42495,,,,,0.4404,89.0,0.0772,91,,,,
42496,,,,,0.7579,89.0,0.0258,91,,,,
42497,,,,,-0.3559,89.0,-0.2023,91,,,,
42498,,,,,0.8481,89.0,0.9201,91,,,,
42499,,,,,0.9201,89.0,0.6597,91,,,,
42500,,,,,0.3818,89.0,0.7778,91,,,,
42501,,,,,-0.3626,89.0,0.9095,91,,,,
42502,,,,,0.8807,89.0,0.6808,91,,,,
42503,,,,,0.0,91.0,-0.34,91,,,,
42504,,,,,0.7645,87.0,0.6927,91,,,,
42505,,,,,0.6369,87.0,0.1531,91,,,,
42506,,,,,0.0,87.0,0.1779,91,,,,
42507,,,,,0.4939,87.0,0.7579,91,,,,
42508,,,,,0.5385,87.0,0.8193,91,,,,
42509,,,,,0.4939,87.0,0.5859,91,,,,
42510,,,,,0.3869,87.0,0.5994,91,,,,
42511,,,,,0.0,87.0,0.5423,91,,,,
42512,,,,,0.0,87.0,0.7906,91,,,,
42513,,,,,0.7783,87.0,0.0,88,,,,
42514,,,,,0.4497,92.0,0.0,88,,,,
42515,,,,,0.0,92.0,0.0772,88,,,,
42516,,,,,0.4939,92.0,0.9175,88,,,,
42517,,,,,0.2382,92.0,0.7269,88,,,,
42518,,,,,0.8598,92.0,0.8795,88,,,,
42519,,,,,0.6369,92.0,0.8519,87,,,,
42520,,,,,0.0,92.0,0.647,87,,,,
42521,,,,,0.0772,92.0,0.8481,87,,,,
42522,,,,,0.8592,92.0,0.4404,87,,,,
42523,,,,,0.8537,92.0,0.5106,87,,,,
42524,,,,,0.9287,92.0,0.9062,87,,,,
42525,,,,,0.4404,92.0,0.939,87,,,,
42526,,,,,0.1531,92.0,0.7269,89,,,,
42527,,,,,0.4767,92.0,0.0,89,,,,
42528,,,,,0.9366,92.0,0.3572,89,,,,
42529,,,,,0.9584,93.0,0.7184,89,,,,
42530,,,,,0.942,93.0,0.7275,89,,,,
42531,,,,,0.6486,93.0,0.848,89,,,,
42532,,,,,0.8674,93.0,0.128,89,,,,
42533,,,,,0.0772,93.0,0.4902,89,,,,
42534,,,,,0.925,93.0,0.3182,89,,,,
42535,,,,,0.8588,92.0,0.81,89,,,,
42536,,,,,0.8582,92.0,0.3612,89,,,,
42537,,,,,0.8126,92.0,0.7579,89,,,,
42538,,,,,0.6077,90.0,0.4588,89,,,,
42539,,,,,0.936,90.0,0.0,89,,,,
42540,,,,,0.7707,90.0,0.8767,89,,,,
42541,,,,,0.7003,90.0,0.8481,89,,,,
42542,,,,,0.705,90.0,0.9427,89,,,,
42543,,,,,0.6124,90.0,0.9427,89,,,,
42544,,,,,0.9022,90.0,0.765,89,,,,
42545,,,,,0.6908,90.0,0.9501,89,,,,
42546,,,,,0.4767,90.0,0.872,89,,,,
42547,,,,,0.6249,90.0,0.0,91,,,,
42548,,,,,0.8201,90.0,0.6542,91,,,,
42549,,,,,0.3612,90.0,0.5432,91,,,,
42550,,,,,0.0,88.0,0.9287,91,,,,
42551,,,,,0.6444,88.0,0.4939,91,,,,
42552,,,,,0.7096,88.0,0.8338,91,,,,
42553,,,,,0.714,88.0,0.8173,91,,,,
42554,,,,,0.7184,88.0,0.6637,91,,,,
42555,,,,,0.5859,88.0,0.4215,91,,,,
42556,,,,,-0.4215,88.0,0.4877,91,,,,
42557,,,,,0.8555,88.0,-0.3291,91,,,,
42558,,,,,0.8591,88.0,0.0,89,,,,
42559,,,,,0.3506,88.0,0.3182,89,,,,
42560,,,,,0.8593,85.0,0.2023,89,,,,
42561,,,,,0.7003,85.0,0.4404,89,,,,
42562,,,,,0.4404,85.0,0.0258,89,,,,
42563,,,,,0.0,85.0,0.4767,89,,,,
42564,,,,,0.2083,85.0,0.8591,89,,,,
42565,,,,,0.0,85.0,0.34,89,,,,
42566,,,,,0.9161,86.0,0.2263,89,,,,
42567,,,,,0.25,90.0,0.0772,89,,,,
42568,,,,,0.5927,87.0,0.0,89,,,,
42569,,,,,0.8402,87.0,0.4404,89,,,,
42570,,,,,0.6369,87.0,0.6187,89,,,,
42571,,,,,0.0,87.0,0.8898,89,,,,
42572,,,,,0.0,87.0,0.6486,89,,,,
42573,,,,,0.9325,87.0,0.5574,88,,,,
42574,,,,,0.6808,87.0,0.81,88,,,,
42575,,,,,0.0,87.0,0.8126,88,,,,
42576,,,,,0.8176,90.0,0.7469,88,,,,
42577,,,,,0.7964,90.0,0.6124,88,,,,
42578,,,,,0.0,90.0,-0.296,88,,,,
42579,,,,,0.6124,90.0,0.5719,88,,,,
42580,,,,,0.4019,90.0,0.4939,88,,,,
42581,,,,,0.8316,90.0,0.6124,87,,,,
42582,,,,,0.1027,89.0,0.8121,87,,,,
42583,,,,,0.4588,89.0,0.836,87,,,,
42584,,,,,0.8697,89.0,0.2732,87,,,,
42585,,,,,0.8555,89.0,0.4404,87,,,,
42586,,,,,0.8316,89.0,0.3182,87,,,,
42587,,,,,0.0,89.0,0.0,87,,,,
42588,,,,,0.431,89.0,-0.3612,87,,,,
42589,,,,,0.34,89.0,0.5413,87,,,,
42590,,,,,-0.2732,89.0,0.5106,87,,,,
42591,,,,,0.631,89.0,0.0,87,,,,
42592,,,,,0.5499,89.0,0.5994,87,,,,
42593,,,,,0.7525,89.0,0.8074,85,,,,
42594,,,,,0.5719,90.0,0.4404,85,,,,
42595,,,,,0.6428,90.0,0.4118,85,,,,
42596,,,,,0.926,90.0,0.0,85,,,,
42597,,,,,0.0,90.0,0.0,84,,,,
42598,,,,,0.9403,90.0,0.83,84,,,,
42599,,,,,0.5106,90.0,0.296,84,,,,
